MIB Module,Object Name,OID,Kind,Syntax,Access,Description
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfUsedTargetMargins,1.3.6.1.2.1.10.48.1.10.1.13,column,"BITS { currCondDown(0), worstCaseDown(1), currCondUp(2), worstCaseUp(3) }",read-create,Indicates whether a target SNR margin is enabled or disabled. This is a bit-map of possible settings. The various bit positions are as follows: currCo
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfReferenceClock,1.3.6.1.2.1.10.48.1.10.1.14,column,Hdsl2ShdslClockReferenceType,read-create,This object configures the clock reference for the STU-C in an SHDSL Line.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfLineProbeEnable,1.3.6.1.2.1.10.48.1.10.1.15,column,"INTEGER { disable(1), enable(2) }",read-create,"This object enables/disables support for Line Probe of the units in an SHDSL line. When Line Probe is enabled, the system performs Line Probing to fin"
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfProfileRowStatus,1.3.6.1.2.1.10.48.1.10.1.16,column,RowStatus,read-create,This object controls creation/deletion of the associated entry in this table per the semantics of RowStatus. If an active entry is referenced in hdsl2
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointAlarmConfProfileName,1.3.6.1.2.1.10.48.1.11.1.1,column,SnmpAdminString (SIZE(1..32)),not-accessible,This object is the unique index associated with this profile.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointThreshLoopAttenuation,1.3.6.1.2.1.10.48.1.11.1.2,column,Integer32(-127..128),read-create,"This object configures the loop attenuation alarm threshold. When the current value of hdsl2ShdslEndpointCurrAtn reaches or exceeds this threshold, an"
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointThreshSNRMargin,1.3.6.1.2.1.10.48.1.11.1.3,column,Integer32(-127..128),read-create,"This object configures the SNR margin alarm threshold. When the current value of hdsl2ShdslEndpointCurrSnrMgn reaches or drops below this threshold, a"
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointThreshES,1.3.6.1.2.1.10.48.1.11.1.4,column,Hdsl2ShdslPerfIntervalThreshold,read-create,This object configures the threshold for the number of Errored Seconds (ES) within any given 15-minute performance data collection interval. If the va
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointThreshSES,1.3.6.1.2.1.10.48.1.11.1.5,column,Hdsl2ShdslPerfIntervalThreshold,read-create,This object configures the threshold for the number of Severely Errored Seconds (SES) within any given 15-minute performance data collection interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointThreshCRCanomalies,1.3.6.1.2.1.10.48.1.11.1.6,column,Integer32,read-create,This object configures the threshold for the number of CRC anomalies within any given 15-minute performance data collection interval. If the value of 
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointThreshLOSWS,1.3.6.1.2.1.10.48.1.11.1.7,column,Hdsl2ShdslPerfIntervalThreshold,read-create,This object configures the threshold for the number of Loss of Sync Word (LOSW) Seconds within any given 15-minute performance data collection interva
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointThreshUAS,1.3.6.1.2.1.10.48.1.11.1.8,column,Hdsl2ShdslPerfIntervalThreshold,read-create,This object configures the threshold for the number of Unavailable Seconds (UAS) within any given 15-minute performance data collection interval. If t
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointAlarmConfProfileRowStatus,1.3.6.1.2.1.10.48.1.11.1.9,column,RowStatus,read-create,This object controls creation/deletion of the associated entry in this table as per the semantics of RowStatus. If an active entry is referenced in ei
EFM-CU-MIB,efmCuPAFAdminState,1.3.6.1.2.1.167.1.1.1.1.1,column,"INTEGER { enabled(1), disabled(2) }",read-write,"Administrative (desired) state of the PAF of the EFMCu port (PCS). When 'disabled', PME Aggregation will not be performed by the PCS. No more than a s"
EFM-CU-MIB,efmCuPAFDiscoveryCode,1.3.6.1.2.1.167.1.1.1.1.2,column,PhysAddress,read-write,"PAF Discovery Code of the EFMCu port (PCS). A unique 6 Byte long code used by the Discovery function, when PAF is supported. PCS ports incapable of su"
EFM-CU-MIB,efmCuAdminProfile,1.3.6.1.2.1.167.1.1.1.1.3,column,ProfileIndexList,read-write,"Desired configuration Profile(s), common for all PMEs in the EFMCu port. This object is a list of pointers to entries in either efmCuPme2BProfileTable"
EFM-CU-MIB,efmCuTargetDataRate,1.3.6.1.2.1.167.1.1.1.1.4,column,Unsigned32(1..100000|999999),read-write,"Desired EFMCu port 'net' (as seen across MII) Data Rate in Kbps, to be achieved during initialization, under spectral restrictions placed on each PME "
EFM-CU-MIB,efmCuTargetSnrMgn,1.3.6.1.2.1.167.1.1.1.1.5,column,Unsigned32(0..21),read-write,"Desired EFMCu port SNR Margin to be achieved on all PMEs assigned to the port, during initializiation. (The SNR margin is the difference between the d"
EFM-CU-MIB,efmCuAdaptiveSpectra,1.3.6.1.2.1.167.1.1.1.1.6,column,TruthValue,read-write,Indicates how to utilize excess capacity when the copper environment allows to achieve higher total data rate than that specified by the efmCuTargetDa
EFM-CU-MIB,efmCuThreshLowRate,1.3.6.1.2.1.167.1.1.1.1.7,column,Unsigned32(1..100000),read-write,This object configures the EFMCu port low rate crossing alarm threshold. When the current value of ifSpeed for this port reaches/drops below or exceed
EFM-CU-MIB,efmCuLowRateCrossingEnable,1.3.6.1.2.1.167.1.1.1.1.8,column,TruthValue,read-write,Indicates whether efmCuLowRateCrossing notifications should be generated for this interface. Value of true(1) indicates that efmCuLowRateCrossing noti
