device_type,mib_module,object_name,oid,kind,data_type,textual_convention,unit,unit_source,access,configurable,table_index,nsp_attribute_name,description
dsl-modem,ML620R-MIB,priorityCodePoint,1.3.6.1.4.1.5468.510.2.8.2.2.1.1,column,enum,,,,read-only,no,no,priorityCodePoint,Description.
dsl-modem,ML620R-MIB,qosClass,1.3.6.1.4.1.5468.510.2.8.2.2.1.2,column,integer,,,,read-write,yes,no,qosClass,Description.
dsl-modem,ML620R-MIB,dscpBasedQosIngressEnable,1.3.6.1.4.1.5468.510.2.8.3.1,scalar,enum,,,,read-write,yes,no,dscpBasedQosIngressEnable,Description.
dsl-modem,ML620R-MIB,qosClassForAllDSCP,1.3.6.1.4.1.5468.510.2.8.3.2,scalar,integer,,,,read-write,yes,no,qosClassForAllDSCP,Description.
dsl-modem,ML620R-MIB,dscpIndex,1.3.6.1.4.1.5468.510.2.8.3.3.1.1,column,integer,,,,read-only,no,no,dscpIndex,Description.
dsl-modem,ML620R-MIB,dscpValue,1.3.6.1.4.1.5468.510.2.8.3.3.1.2,column,integer,,,,read-only,no,no,dscpValue,Description.
dsl-modem,ML620R-MIB,dscpQosClass,1.3.6.1.4.1.5468.510.2.8.3.3.1.3,column,integer,,,,read-write,yes,no,dscpQosClass,Description.
dsl-modem,ML620R-MIB,schedulerMode,1.3.6.1.4.1.5468.510.2.8.4.1,scalar,enum,,,,read-write,yes,no,schedulerMode,Description.
dsl-modem,ML620R-MIB,queue,1.3.6.1.4.1.5468.510.2.8.4.2.1.1,column,integer,,,,read-only,no,no,queue,Description.
dsl-modem,ML620R-MIB,queueLimitMode,1.3.6.1.4.1.5468.510.2.8.4.2.1.2,column,enum,,,,read-write,yes,no,queueLimitMode,Description.
dsl-modem,ML620R-MIB,queueSpeed,1.3.6.1.4.1.5468.510.2.8.4.2.1.3,column,integer,,,,read-write,yes,no,queueSpeed,Description.
dsl-modem,ML620R-MIB,queueSpeedUnit,1.3.6.1.4.1.5468.510.2.8.4.2.1.4,column,enum,,,,read-write,yes,no,queueSpeedUnit,Description.
dsl-modem,ML620R-MIB,queueWeight,1.3.6.1.4.1.5468.510.2.8.4.2.1.5,column,integer,,,,read-write,yes,no,queueWeight,Description.
dsl-modem,ML620R-MIB,policerIndex,1.3.6.1.4.1.5468.510.2.8.5.1.1.1,column,integer,,,,read-only,no,no,policerIndex,Description.
dsl-modem,ML620R-MIB,policerMode,1.3.6.1.4.1.5468.510.2.8.5.1.1.2,column,enum,,,,read-write,yes,no,policerMode,Description.
dsl-modem,ML620R-MIB,policerRate,1.3.6.1.4.1.5468.510.2.8.5.1.1.3,column,integer,,,,read-write,yes,no,policerRate,Description.
dsl-modem,ML620R-MIB,policerUnit,1.3.6.1.4.1.5468.510.2.8.5.1.1.4,column,enum,,,,read-write,yes,no,policerUnit,Description.
dsl-modem,ML620R-MIB,actiiveVirtualIndex,1.3.6.1.4.1.5468.510.2.9.1.1.1,column,integer,,,,read-only,no,no,actiiveVirtualIndex,Description.
dsl-modem,ML620R-MIB,virtualServersDescription,1.3.6.1.4.1.5468.510.2.9.1.1.2,column,string,,,,read-write,yes,no,virtualServersDescription,Description.
dsl-modem,ML620R-MIB,virtualServersStartPort,1.3.6.1.4.1.5468.510.2.9.1.1.3,column,integer,,,,read-write,yes,no,virtualServersStartPort,Description.
dsl-modem,ML620R-MIB,virtualServersEndPort,1.3.6.1.4.1.5468.510.2.9.1.1.4,column,integer,,,,read-write,yes,no,virtualServersEndPort,Description.
dsl-modem,ML620R-MIB,virtualServersLocalIP,1.3.6.1.4.1.5468.510.2.9.1.1.5,column,ipv4-address,,,,read-write,yes,no,virtualServersLocalIP,Description.
dsl-modem,ML620R-MIB,virtualServersProtocol,1.3.6.1.4.1.5468.510.2.9.1.1.6,column,enum,,,,read-write,yes,no,virtualServersProtocol,Description.
dsl-modem,ML620R-MIB,virtualServersInternalInterface,1.3.6.1.4.1.5468.510.2.9.1.1.7,column,string,,,,read-write,yes,no,virtualServersInternalInterface,Description.
dsl-modem,ML620R-MIB,virtualServersExternalInterface,1.3.6.1.4.1.5468.510.2.9.1.1.8,column,string,,,,read-write,yes,no,virtualServersExternalInterface,Description.
dsl-modem,ML620R-MIB,virtualServersAction,1.3.6.1.4.1.5468.510.2.9.1.1.9,column,enum,,,,read-write,yes,no,virtualServersAction,Description.
